date,amount,category,merchant
2026-01-01,-227.13,utilities,Electric Ireland
2026-01-02,1448.72,salary,Employer Ltd
2026-01-02,-141.01,entertainment,Cinema World
2026-01-02,-299.39,transport,Irish Rail
2026-01-02,-142.2,utilities,Electric Ireland
2026-01-03,-180.43,dining,Starbucks
2026-01-03,-190.65,groceries,Tesco
2026-01-04,1370.95,refund,Tesco
2026-01-04,-115.22,rent,Landlord Ltd
2026-01-05,321.05,salary,Employer Ltd
2026-01-05,-172.77,subscription,Netflix
2026-01-06,-168.32,shopping,Penneys
2026-01-07,-175.85,subscription,Spotify
2026-01-08,2437.27,salary,Employer Ltd
2026-01-08,947.83,salary,Employer Ltd
2026-01-09,-161.99,dining,Local Cafe
2026-01-09,-241.23,utilities,Eir
2026-01-09,306.19,refund,Tesco
2026-01-11,-98.26,transport,Dublin Bus
2026-01-12,521.87,refund,Amazon
2026-01-12,-205.41,groceries,Aldi
2026-01-13,1298.08,salary,Employer Ltd
2026-01-13,-121.0,groceries,Tesco
2026-01-14,-27.62,entertainment,Cinema World
2026-01-14,2265.19,refund,Amazon
2026-01-15,-271.9,groceries,Tesco
2026-01-15,-48.55,dining,Starbucks
2026-01-15,-139.43,utilities,Eir
2026-01-15,-77.97,dining,Starbucks
2026-01-15,-88.1,subscription,Spotify
2026-01-17,-34.74,subscription,Netflix
2026-01-17,-247.28,rent,Landlord Ltd
2026-01-18,-170.0,shopping,Penneys
2026-01-18,-149.31,subscription,Spotify
2026-01-21,1567.75,freelance,Client Payment
2026-01-21,-295.84,subscription,Netflix
2026-01-21,-288.47,transport,Dublin Bus
2026-01-21,-96.9,utilities,Electric Ireland
2026-01-21,-18.35,entertainment,Spotify
2026-01-22,107.02,freelance,Client Payment
2026-01-22,829.37,freelance,Client Payment
2026-01-24,-31.43,subscription,Netflix
2026-01-24,-21.74,entertainment,Spotify
2026-01-24,-124.31,rent,Landlord Ltd
2026-01-24,1741.47,freelance,Client Payment
2026-01-25,-207.93,utilities,Electric Ireland
2026-01-26,1432.88,refund,Amazon
2026-01-27,982.03,salary,Employer Ltd
2026-01-27,-165.07,groceries,Tesco
2026-01-27,2461.79,refund,Tesco
2026-01-27,-215.71,entertainment,Spotify
2026-01-28,-32.53,subscription,Spotify
2026-01-28,-150.61,rent,Landlord Ltd
2026-01-28,1289.95,salary,Employer Ltd
2026-01-28,487.43,salary,Employer Ltd
2026-01-28,1027.12,salary,Employer Ltd
2026-01-29,414.22,salary,Employer Ltd
2026-01-30,-259.41,transport,Dublin Bus
2026-01-30,-28.4,subscription,Spotify
2026-02-01,2345.55,freelance,Client Payment
2026-02-02,-279.07,dining,Starbucks
2026-02-02,-71.65,groceries,Aldi
2026-02-02,675.5,refund,Tesco
2026-02-02,-245.67,entertainment,Cinema World
2026-02-04,1804.57,freelance,Client Payment
2026-02-04,1381.7,freelance,Client Payment
2026-02-04,1727.59,salary,Employer Ltd
2026-02-05,-299.07,entertainment,Cinema World
2026-02-05,1230.01,refund,Tesco
2026-02-06,-58.36,transport,Dublin Bus
2026-02-06,-221.85,subscription,Netflix
2026-02-06,2444.79,refund,Tesco
2026-02-07,-263.92,groceries,Aldi
2026-02-07,2332.39,refund,Tesco
2026-02-07,-185.91,utilities,Eir
2026-02-08,613.63,freelance,Client Payment
2026-02-08,2344.3,salary,Employer Ltd
2026-02-08,1998.59,refund,Amazon
2026-02-09,-105.66,shopping,Penneys
2026-02-10,1546.02,refund,Amazon
2026-02-10,1237.08,refund,Tesco
2026-02-11,300.42,refund,Tesco
2026-02-11,-37.84,groceries,Lidl
2026-02-12,-39.16,utilities,Electric Ireland
2026-02-13,-29.26,entertainment,Cinema World
2026-02-13,-283.49,shopping,Penneys
2026-02-14,-124.39,rent,Landlord Ltd
2026-02-14,-154.97,subscription,Netflix
2026-02-15,-79.29,rent,Landlord Ltd
